"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/18/2020","CVS","CVS/PHARMACY #01264","2.99","debit","Pharmacy","freedom","",""
"3/18/2020","Wine & Spirits","BLANCHARDS WINE & SPIRITS","36.96","debit","Groceries","freedom","",""
"3/18/2020","7-Eleven","7-ELEVEN 37526","4.74","debit","Fast Food","freedom","",""
"3/18/2020","Uc Berkeley Direct","UC Berkeley      DIRECT PAY","1387.55","credit","Income","TOTAL CHECKING","",""
"3/18/2020","Venmo Cashout Ppd","VENMO            CASHOUT","0.17","credit","Income","TOTAL CHECKING","",""
"3/18/2020","Venmo","VENMO            PAYMENT    3251","3.00","debit","Transfer","TOTAL CHECKING","",""
"3/18/2020","DISCOVER E-PAYMENT 4801 WEB ID: 2510020270","DISCOVER         E-PAYMENT  4801","23.19","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/17/2020","1002 CAFFE NERO JAMABOSTON MA","1002 CAFFE NERO JAMABOSTON              MA","10.86","debit","Restaurants","American Express Gold Card","",""
"3/17/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","23.19","credit","Credit Card Payment","Discover","",""
"3/17/2020","American Express","AMERICAN EXPRESS ACH PMT    M367","149.17","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/17/2020","Chase card ending in 3408 03/17","Payment to Chase card ending in","196.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/17/2020","Payment Thank You-Mobile","Payment Thank You-Mobile","196.00","credit","Credit Card Payment","freedom","",""
"3/16/2020","PAYMENT RECEIVED - THANK YOU","PAYMENT RECEIVED - THANK YOU","149.17","credit","Credit Card Payment","American Express Gold Card","",""
"3/16/2020","Amazon","Amazon.com*DH92F0GW3","55.24","debit","Shopping","freedom","",""
"3/16/2020","Venmo Cashout Ppd","VENMO            CASHOUT","245.07","credit","Income","TOTAL CHECKING","",""
"3/15/2020","Amazon","Amazon.com*TC4NU54H3","57.35","debit","Shopping","freedom","",""
"3/15/2020","Nintendo Digital","NINTENDO    *AMERICAUS","31.86","debit","Entertainment","freedom","",""
"3/15/2020","333 SALON & BARBERSHO","SQ *333 SALON & BARBERSHO","25.00","debit","Hair","freedom","",""
"3/14/2020","Apple","APPLE.COM/BILL 866-712-7753 CA","7.43","debit","Electronics & Software","Citi® Double Cash Card","",""
"3/14/2020","Whole Foods","AplPay WHOLE FOODS MJAMAICA PLAIN       MA","25.20","debit","Groceries","American Express Gold Card","",""
"3/13/2020","National Grid","NATIONAL GRID NE UTILITYPAY","31.40","debit","Transfer","TOTAL CHECKING","",""
"3/13/2020","National Grid","NATIONAL GRID NE UTILITYPAY","10.47","debit","Utilities","TOTAL CHECKING","",""
"3/13/2020","MIKE'S DONUTS 561105JAMAICA PLAIN MA","MIKE'S DONUTS 561105JAMAICA PLAIN       MA","6.50","debit","Fast Food","American Express Gold Card","",""
"3/13/2020","1013 CAFFE NERO WASHBROOKLINE MA","1013 CAFFE NERO WASHBROOKLINE           MA","2.78","debit","Restaurants","American Express Gold Card","",""
"3/13/2020","BURRO BAR BROOKLINE BROOKLINE MA","BURRO BAR BROOKLINE BROOKLINE           MA","29.00","debit","Alcohol & Bars","American Express Gold Card","",""
"3/13/2020","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.98","credit","Paycheck","TOTAL CHECKING","",""
"3/13/2020","Amazon","Amazon.com*5B6W112X3","26.55","debit","Shopping","freedom","",""
"3/12/2020","GrubHub","AplPay GRUBHUB*JPKITNEW YORK            NY","57.00","debit","Transfer","American Express Gold Card","",""
"3/12/2020","GrubHub","AplPay GRUBHUB*JPKITNEW YORK            NY","19.00","debit","Food & Dining","American Express Gold Card","",""
"3/12/2020","1002 CAFFE NERO JAMABOSTON MA","1002 CAFFE NERO JAMABOSTON              MA","4.39","debit","Restaurants","American Express Gold Card","",""
"3/12/2020","DISCOVER E-PAYMENT 4801 WEB ID: 2510020270","DISCOVER         E-PAYMENT  4801","131.95","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/12/2020","CITI CARD ONLINE PAYMENT 4200 60888393845 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4200","152.23","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/11/2020","MIKE'S DONUTS 561105JAMAICA PLAIN MA","MIKE'S DONUTS 561105JAMAICA PLAIN       MA","5.95","debit","Fast Food","American Express Gold Card","",""
"3/11/2020","- THANK YOU","ONLINE PAYMENT - THANK YOU","261.72","credit","Credit Card Payment","American Express Gold Card","",""
"3/11/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","131.95","credit","Credit Card Payment","Discover","",""
"3/11/2020","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","152.23","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"3/11/2020","Payment Thank You-Mobile","Payment Thank You-Mobile","731.96","credit","Credit Card Payment","freedom","",""
"3/11/2020","Chase card ending in 3408 03/11","Payment to Chase card ending in","731.96","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/11/2020","American Express","AMERICAN EXPRESS ACH PMT    M472","261.72","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/10/2020","Whole Foods","WHOLE FOODS MARKET  BOSTON              MA","8.63","debit","Groceries","American Express Gold Card","",""
"3/10/2020","Stop & Shop","STOP & SHOP 0412 BOSTON MA01083B","23.19","debit","Groceries","Discover","",""
"3/10/2020","TST* TATTE BAKERY BOSTON MA","TST* TATTE BAKERY   BOSTON              MA","8.03","debit","Restaurants","American Express Gold Card","",""
"3/10/2020","Comcast","COMCAST CABLE COMM","54.87","debit","Television","freedom","",""
"3/09/2020","Dunkin Donuts","DUNKIN #304355 Q35 3BOSTON              MA","4.69","debit","Coffee Shops","American Express Gold Card","",""
"3/09/2020","ATM CASH DEPOSIT 03/08 280 HUNTI NGTON AVE BOSTON MA","ATM CASH DEPOSIT 03/08 280 HUNTI","200.00","credit","Income","TOTAL CHECKING","",""
"3/07/2020","Walgreens","WALGREENS #7189 ROXBURY CROSSMAAPPLE PAY ENDING IN","6.22","debit","Pharmacy","Discover","",""
"3/07/2020","Costco","COSTCO WHSE #0319 DEDHAM MA","5.33","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"3/07/2020","American Express","AMEX Dining Credit","10.00","credit","Credit Card Payment","American Express Gold Card","",""
"3/06/2020","TST* BRASSICA KITCHEJAMAICA PLAIN MA","TST* BRASSICA KITCHEJAMAICA PLAIN       MA","12.63","debit","Restaurants","American Express Gold Card","",""
"3/06/2020","Dunkin Donuts","DUNKIN #330308 Q35","1.59","debit","Coffee Shops","freedom","",""
"3/06/2020","Amtrak","AMTRAK .COM 0640743559455","224.00","debit","Transfer","freedom","",""
"3/05/2020","Stop & Shop","STOP & SHOP 0067 LYNN MA00574B","33.51","debit","Groceries","Discover","",""
"3/05/2020","Stop & Shop","STOP & SHOP 0067 LYNN MA00574B","34.62","debit","Transfer","Discover","",""
"3/05/2020","Costco","COSTCO WHSE #0333 EVERETT MA","96.71","debit","Shopping","Costco Anywhere Visa® Card by Citi","",""
"3/05/2020","Costco","COSTCO WHSE #0333 EVERETT MA","42.00","debit","Transfer","Costco Anywhere Visa® Card by Citi","",""
"3/05/2020","Wal-Mart","WAL-MART STORE - #2139 LYNN MA","20.69","debit","Pharmacy","Discover","",""
"3/05/2020","Costco","COSTCO WHSE #0333 EVERETT MA","3.20","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"3/05/2020","Allianz","ALLIANZ INSURANCE","18.00","debit","Life Insurance","freedom","",""
"3/04/2020","Ginger Exchange","GINGER EXCHANGE 4368BOSTON              MA","20.31","debit","Restaurants","American Express Gold Card","",""
"3/04/2020","NU ON THE GO 28032845","NU ON THE GO  28032845","1.35","debit","Fast Food","freedom","",""
"3/04/2020","Amazon","AMZN Mktp US*H70VU67P3","9.55","debit","Shopping","freedom","",""
"3/04/2020","Venmo","VENMO            PAYMENT    3191","875.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"3/04/2020","PAYPAL TRANSFER PPD ID: PAYPALSD11","PAYPAL           TRANSFER","80.00","credit","Transfer","TOTAL CHECKING","",""
"3/03/2020","Tres Gatos, LLC","TST* TRES GATOS 3005JAMAICA PLAIN       MA","95.00","debit","Restaurants","American Express Gold Card","",""
"3/03/2020","EVERSOURCE WEB_PAY 4987 6913021020 WEB ID: 1202042013","EVERSOURCE       WEB_PAY    4987","26.00","debit","Utilities","TOTAL CHECKING","",""
"3/03/2020","EVERSOURCE WEB_PAY 4987 6913021020 WEB ID: 1202042013","EVERSOURCE       WEB_PAY    4987","78.86","debit","Transfer","TOTAL CHECKING","",""
"3/03/2020","MBTA CONVENTION","MBTA CONVENTION","90.00","debit","Public Transportation","freedom","",""
"3/03/2020","Lyft","LYFT   *RIDE SUN 6PM","15.56","debit","Rental Car & Taxi","freedom","",""
"3/02/2020","Uber.com","UBER TRIP","15.39","debit","Rental Car & Taxi","freedom","",""
"3/02/2020","Uber.com","UBER TRIP","15.08","debit","Rental Car & Taxi","freedom","",""
"3/02/2020","LAY WASTE GAMES","SQ *LAY WASTE GAMES","45.00","debit","Entertainment","freedom","",""
"3/02/2020","eBay","PAYPAL *EBAY INC","21.35","debit","Shopping","freedom","",""
"3/02/2020","Uber.com","UBER TRIP","14.27","debit","Rental Car & Taxi","freedom","",""
"3/02/2020","RE *PAX East","RE *PAX East","67.00","debit","Shopping","freedom","",""
"3/02/2020","DISCOVER E-PAYMENT 4801 WEB ID: 2510020270","DISCOVER         E-PAYMENT  4801","14.91","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/02/2020","Venmo Cashout Ppd","VENMO            CASHOUT","256.74","credit","Income","TOTAL CHECKING","",""
"3/02/2020","CITI CARD ONLINE PAYMENT 4300 50628739967 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4300","0.99","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/01/2020","Moyzilla LLC","MOYZILLA LLC        Canton              MA","13.00","debit","Home Services","American Express Gold Card","",""
"3/01/2020","McDonald's","MCDONALD'S F17677","1.81","debit","Fast Food","freedom","",""
"2/29/2020","GrubHub","AplPay GRUBHUB*JPKITNEW YORK            NY","23.00","debit","Food & Dining","American Express Gold Card","",""
"2/29/2020","Star Market","STAR MARKET 2576 BOSTON MAAPPLE PAY ENDING IN 2423","20.95","debit","Groceries","Discover","",""
"2/29/2020","TST* MIDDLESEX LOUNGCAMBRIDGE MA","TST* MIDDLESEX LOUNGCAMBRIDGE           MA","35.00","debit","Alcohol & Bars","American Express Gold Card","",""
"2/29/2020","McDonald's","MCDONALD'S          CAMBRIDGE           MA","13.89","debit","Fast Food","American Express Gold Card","",""
"2/29/2020","TST* MIDDLESEX LOUNGCAMBRIDGE MA","TST* MIDDLESEX LOUNGCAMBRIDGE           MA","9.00","debit","Alcohol & Bars","American Express Gold Card","",""
"2/29/2020","Target","TARGET BOSTON FENWAYBOSTON              MA","17.20","debit","Shopping","American Express Gold Card","",""
"2/29/2020","TST* MIDDLESEX LOUNGCAMBRIDGE MA","TST* MIDDLESEX LOUNGCAMBRIDGE           MA","9.00","debit","Alcohol & Bars","American Express Gold Card","",""
"2/28/2020","Spotify","Spotify USA 877-7781161 NY","4.99","debit","Music","Costco Anywhere Visa® Card by Citi","",""
"2/28/2020","Stop & Shop","STOP & SHOP 0412 BOSTON MA02873B","15.96","debit","Groceries","Discover","",""
"2/28/2020","- THANK YOU","ONLINE PAYMENT - THANK YOU","799.04","credit","Credit Card Payment","American Express Gold Card","",""
"2/28/2020","Wollastons Market","WOLLASTON'S MARKET  BOSTON              MA","2.98","debit","Groceries","American Express Gold Card","",""
"2/28/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","14.91","credit","Credit Card Payment","Discover","",""
"2/28/2020","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","0.99","credit","Credit Card Payment","Citi® Double Cash Card","",""
"2/28/2020","Chase card ending in 3408 02/28","Payment to Chase card ending in","829.62","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/28/2020","American Express","AMERICAN EXPRESS ACH PMT    M583","799.04","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/28/2020","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.98","credit","Paycheck","TOTAL CHECKING","",""
"2/28/2020","REUNION RESORT","REUNION RESORT","127.14","debit","Hotel","freedom","",""
"2/28/2020","Payment Thank You-Mobile","Payment Thank You-Mobile","829.62","credit","Credit Card Payment","freedom","",""
"2/28/2020","ACTBLUE*AMY.MCGRATH.SEN","ACTBLUE*AMY.MCGRATH.SEN","10.00","debit","Charity","freedom","",""
"2/27/2020","TST* B.GOOD - HUNTINBOSTON MA","TST* B.GOOD - HUNTINBOSTON              MA","6.96","debit","Coffee Shops","American Express Gold Card","",""
"2/27/2020","Popeye's","NU POPEYES    259611BOSTON              MA","7.99","debit","Restaurants","American Express Gold Card","",""
"2/27/2020","Canary Square","CANARY SQUARE       BOSTON              MA","192.00","debit","Restaurants","American Express Gold Card","",""
"2/27/2020","CIML INC.","PAYPAL *CIML INC.","15.70","debit","Electronics & Software","freedom","",""
"2/27/2020","Nintendo Digital","NINTENDO    *AMERICAUS","63.74","debit","Entertainment","freedom","",""
"2/26/2020","Alamo Rent","ALAMO RENT-A-C030279ORLANDO             FL","358.32","debit","Rental Car & Taxi","American Express Gold Card","",""
"2/25/2020","Pavilions","JAPAN PAVILION AT EPCOT","6.29","debit","Groceries","freedom","",""
"2/24/2020","ATM WITHDRAWAL 005307 02/221499 E BU","ATM WITHDRAWAL","100.00","debit","Cash & ATM","TOTAL CHECKING","",""
"2/23/2020","UK BEER CART LAKE BUENA VI FL","UK BEER CART        LAKE BUENA VI       FL","9.75","debit","Alcohol & Bars","American Express Gold Card","",""
"2/23/2020","3016 - JOFFREY'S COFLake Buena Vista FL","3016 - JOFFREY'S COFLake Buena Vista    FL","3.83","debit","Coffee Shops","American Express Gold Card","",""
"2/22/2020","Wal-Mart","WAL-MART SUPERCENTERKISSIMMEE           FL","76.54","debit","Shopping","American Express Gold Card","",""
"2/21/2020","Delaware North","DELAWARE NORTH LOGANBOSTON              MA","8.56","debit","Travel","American Express Gold Card","",""
"2/21/2020","Amelia's Taqueria","AMELIA S TAQUERIA - BOSTON              MA","13.11","debit","Restaurants","American Express Gold Card","",""
"2/21/2020","Otto Pizza","OTTO PIZZA 00B7     BOSTON              MA","7.49","debit","Fast Food","American Express Gold Card","",""
"2/21/2020","TST* TATTE BAKERY BOSTON MA","TST* TATTE BAKERY   BOSTON              MA","4.82","debit","Restaurants","American Express Gold Card","",""
"2/21/2020","Apple","APPLE.COM/BILL 866-712-7753 CA","0.99","debit","Electronics & Software","Citi® Double Cash Card","",""
"2/21/2020","FOREST HILL CONVENIENCE","FOREST HILL CONVENIENCE","2.59","debit","Groceries","freedom","",""
"2/21/2020","Nintendo Digital","NINTENDO    *AMERICAUS","9.82","debit","Entertainment","freedom","",""
"2/20/2020","Publick House LLC","THE PUBLICK HOUSE 00BROOKLINE           MA","38.00","debit","Alcohol & Bars","American Express Gold Card","",""
"2/19/2020","Disney","WDW DISNEY TICKETS","138.00","debit","Travel","freedom","",""
"2/19/2020","Disney","WDW DISNEY TICKETS","548.95","debit","Travel","freedom","",""
"2/19/2020","FOREST HILL CONVENIENCE","FOREST HILL CONVENIENCE","3.88","debit","Groceries","freedom","",""
"2/18/2020","Starbucks","STARBUCKS STORE 0750SOMERVILLE          MA","3.48","debit","Coffee Shops","American Express Gold Card","",""
"2/18/2020","Chase card ending in 3408 02/18","Payment to Chase card ending in","289.76","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/18/2020","CITI CARD ONLINE PAYMENT 4300 39253800766 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4300","102.27","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/18/2020","DISCOVER E-PAYMENT 4801 WEB ID: 2510020270","DISCOVER         E-PAYMENT  4801","97.61","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/18/2020","REMOTE ONLINE DEPOSIT # 1 1","REMOTE ONLINE DEPOSIT #","381.00","credit","Income","TOTAL CHECKING","",""
"2/18/2020","CITI CARD ONLINE PAYMENT 4200 39253930514 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4200","7.43","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/18/2020","Venmo","VENMO            PAYMENT    3116","10.00","debit","Transfer","TOTAL CHECKING","",""
"2/18/2020","American Express","AMERICAN EXPRESS ACH PMT    M666","111.55","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/17/2020","Wollastons Market","WOLLASTON'S MARINO SSS BOSTON MA","1.99","debit","Groceries","Discover","",""
"2/17/2020","Starbucks","STARBUCKS STORE 0082BOSTON              MA","2.84","debit","Coffee Shops","American Express Gold Card","",""
"2/17/2020","Dunkin Donuts","AplPay DUNKIN #30169BOSTON              MA","4.23","debit","Coffee Shops","American Express Gold Card","",""
"2/17/2020","Canary Square","CANARY SQUARE       BOSTON              MA","39.00","debit","Restaurants","American Express Gold Card","",""
"2/17/2020","Lyft","LYFT   *RIDE SAT 8PM","31.66","debit","Rental Car & Taxi","freedom","",""
"2/16/2020","MIKE'S DONUTS 561105001151598 - JAMAICA PLAIN, MA","MIKE'S DONUTS 561105JAMAICA PLAIN       MA","9.25","debit","Fast Food","American Express Gold Card","",""
"2/16/2020","LANSDOWNE PUB 436845558611058 - BOSTON, MA","LANSDOWNE PUB 436845BOSTON              MA","10.00","debit","Alcohol & Bars","American Express Gold Card","",""
"2/16/2020","TST* BRASSICA KITCHEN + C 300518442 - JAMAICA PLAIN, MA","TST* BRASSICA KITCHEJAMAICA PLAIN       MA","10.86","debit","Restaurants","American Express Gold Card","",""
"2/16/2020","Payment Thank You-Mobile","Payment Thank You-Mobile","289.76","credit","Credit Card Payment","freedom","",""
"2/16/2020","Wine & Spirits","HUNTINGTON WINE & SPIRIT","8.99","debit","Alcohol & Bars","freedom","",""
"2/15/2020","CASHBACK BONUS REDEMPTION payment/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","5.91","credit","Bonus","Discover","",""
"2/15/2020","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","7.43","credit","Credit Card Payment","Citi® Double Cash Card","",""
"2/15/2020","ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU","102.27","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"2/15/2020","- THANK YOU","ONLINE PAYMENT - THANK YOU","111.55","credit","Credit Card Payment","American Express Gold Card","",""
"2/15/2020","INTERNET PAYMENT - THANK YOU","INTERNET PAYMENT - THANK YOU","97.61","credit","Credit Card Payment","Discover","",""
"2/14/2020","Wollastons Market","WOLLASTON'S MARINO SSS BOSTON MA","2.93","debit","Groceries","Discover","",""
"2/14/2020","Apple","APPLE.COM/BILL 866-712-7753 CA","7.43","debit","Electronics & Software","Citi® Double Cash Card","",""
"2/14/2020","AXS.COM*BOWERY PRSNTS","AXS.COM*BOWERY PRSNTS","46.00","debit","Entertainment","freedom","",""
"2/14/2020","NORTHEASTERN UNI PAYROLL PPD ID: 7041679980","NORTHEASTERN UNI PAYROLL","1209.98","credit","Paycheck","TOTAL CHECKING","",""
"2/13/2020","National Grid","NATIONAL GRID NE UTILITYPAY","11.71","debit","Utilities","TOTAL CHECKING","",""
"2/13/2020","National Grid","NATIONAL GRID NE UTILITYPAY","35.16","debit","Transfer","TOTAL CHECKING","",""
"2/13/2020","NU KIGO 29259587937 BOSTON MA","NU KIGO 29259587937 BOSTON MA","9.99","debit","Fast Food","Discover","",""
"2/13/2020","Venmo Cashout Ppd","VENMO            CASHOUT","83.85","credit","Income","TOTAL CHECKING","",""
"2/12/2020","On The Go","NU ON THE GO  032845BOSTON              MA","4.94","debit","Groceries","American Express Gold Card","",""
"2/12/2020","Wollastons Market","WOLLASTON'S MARINO SSS BOSTON MA","6.49","debit","Groceries","Discover","",""
"2/12/2020","Internal Revenue Service","IRS  TREAS 310     TAX REF","1384.00","credit","Federal Tax","TOTAL CHECKING","",""
"2/11/2020","Walgreens","WALGREENS #7189 ROXBURY CROSSMAAPPLE PAY ENDING IN","4.90","debit","Pharmacy","Discover","",""
"2/11/2020","JEANIE JOHNSTON PUB 021770020906692 - JAMAICA PLAIN, MA","JEANIE JOHNSTON PUB JAMAICA PLAIN       MA","16.25","debit","Alcohol & Bars","American Express Gold Card","",""
"2/11/2020","Stop & Shop","STOP & SHOP 0412 BOSTON MA01180B","39.76","debit","Groceries","Discover","",""
"2/11/2020","MEADHALL CAMBRIDGE MA","MEADHALL CAMBRIDGE MA","48.00","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"2/11/2020","TST* TATTE BAKERY NORTH 300513810 - BOSTON, MA","TST* TATTE BAKERY   BOSTON              MA","4.82","debit","Restaurants","American Express Gold Card","",""
"2/11/2020","Venmo Cashout Ppd","VENMO            CASHOUT","150.00","credit","Income","TOTAL CHECKING","",""
"2/11/2020","CMSVEND*PRESTIGE SERVICES","CMSVEND*PRESTIGE SERVICES","2.75","debit","Fast Food","freedom","",""
"2/11/2020","CMSVEND*PRESTIGE SERVICES","CMSVEND*PRESTIGE SERVICES","2.75","debit","Fast Food","freedom","",""
"2/11/2020","Cmsvend Prestige Services","CMSVEND*PRESTIGE SERVICES","2.75","credit","Credit Card Payment","freedom","",""
"2/10/2020","Comcast","COMCAST CABLE COMM","13.71","debit","Television","freedom","",""
"2/10/2020","Comcast","COMCAST CABLE COMM","41.16","debit","Transfer","freedom","",""
"2/10/2020","Panera Bread","PANERA BREAD        BOSTON              MA","6.47","debit","Fast Food","American Express Gold Card","",""
"2/10/2020","Bed Bath & Beyond","BED BATH & BEYOND #244","11.76","debit","Furnishings","freedom","",""
"2/10/2020","Chase card ending in 3408 02/10","Payment to Chase card ending in","295.28","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/10/2020","REMOTE ONLINE DEPOSIT # 1 1","REMOTE ONLINE DEPOSIT #","225.00","credit","Income","TOTAL CHECKING","",""
"2/10/2020","CITI CARD ONLINE PAYMENT 4200 32363891202 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4200","621.48","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/09/2020","Costco","COSTCO WHSE#1372 EAST LYME CT","47.85","debit","Shopping","Costco Anywhere Visa® Card by Citi","",""
"2/09/2020","La Belle Aurore, LLC","LA BELLE AURORE     Niantic             CT","40.00","debit","Restaurants","American Express Gold Card","",""
